Date,Open,High,Low,Close,Adj Close,Volume
1/14/2022,42598.87109,43346.6875,41982.61719,43099.69922,43099.69922,23577403399
1/15/2022,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298
1/16/2022,43172.03906,43436.80859,42691.02344,43113.87891,43113.87891,17902097845
1/17/2022,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261
1/18/2022,42250.07422,42534.40234,41392.21484,42375.63281,42375.63281,22417209227
1/19/2022,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258
1/20/2022,41744.02734,43413.02344,40672.82422,40680.41797,40680.41797,20382033940
1/21/2022,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031
1/22/2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405
1/23/2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951
1/24/2022,36275.73438,37247.51953,33184.05859,36654.32813,36654.32813,41856658597
1/25/2022,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594
1/26/2022,36950.51563,38825.41016,36374.90625,36852.12109,36852.12109,31324598034
1/27/2022,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629
1/28/2022,37128.44531,37952.87891,36211.10938,37784.33203,37784.33203,22238830523
1/29/2022,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075
1/30/2022,38151.91797,38266.33984,37437.71094,37917.60156,37917.60156,14643548444
1/31/2022,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465
2/1/2022,38481.76563,39115.13281,38113.66406,38743.27344,38743.27344,20288500328
2/2/2022,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416
2/3/2022,36944.80469,37154.60156,36375.53906,37154.60156,37154.60156,18591534769
2/4/2022,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792
2/5/2022,41501.48047,41847.16406,41038.09766,41441.16406,41441.16406,19652846215
