,Diem,Khoi
742,9.55,KhoiB
743,11.15,KhoiA1
744,12.8,KhoiA
745,14.6,KhoiB
746,11.7,KhoiA1
747,14.4,KhoiA1
748,15.2,KhoiB
749,18.3,KhoiA
750,21.9,KhoiB
751,22.3,KhoiA
752,14.9,KhoiB
753,16.25,KhoiB
754,16.6,KhoiB
755,18.65,KhoiA
756,8.9,KhoiA
757,15.9,KhoiB
758,18.75,KhoiB
759,18.3,KhoiA
760,12.1,KhoiA1
761,7.4,KhoiB
762,13.25,KhoiB
763,18.05,KhoiB
764,18.85,KhoiA
765,10.9,KhoiB
766,13.5,KhoiB
767,14.65,KhoiB
768,17.35,KhoiA1
769,20.05,KhoiA
770,8.75,KhoiA
771,20.25,KhoiA
772,9.5,KhoiA1
773,12.05,KhoiA1
774,10.2,KhoiA1
775,11.1,KhoiA1
776,11.05,KhoiA1
777,14.95,KhoiA
778,15.5,KhoiA
779,8.95,KhoiB
780,12.2,KhoiA1
781,18.3,KhoiB
782,16.95,KhoiB
783,16.85,KhoiA
784,13.35,KhoiB
785,14.55,KhoiA
786,17.75,KhoiA1
787,14,KhoiA1
788,18.05,KhoiA
789,14.6,KhoiA1
790,11.3,KhoiA1
791,15,KhoiB
792,6.95,KhoiB
793,15.4,KhoiA1
794,10.2,KhoiA1
795,17.55,KhoiB
796,12.55,KhoiB
797,18.3,KhoiA1
798,17.85,KhoiA1
799,8.95,KhoiA
800,17.1,KhoiA
801,14.85,KhoiA1
802,14.45,KhoiB
803,23.4,KhoiA
804,13.65,KhoiA1
805,16.5,KhoiB
806,11.15,KhoiB
807,12.3,KhoiA
808,18.1,KhoiA1
809,18.35,KhoiA1
810,17.75,KhoiA1
811,16.35,KhoiA
812,18.9,KhoiB
813,12.2,KhoiA1
814,12.6,KhoiA
815,20.5,KhoiA
816,10.8,KhoiA
817,14,KhoiA1
818,10.95,KhoiA
819,10.75,KhoiA
820,12.6,KhoiB
821,13.7,KhoiA1
822,19,KhoiB
823,16.5,KhoiB
824,10.9,KhoiA
825,15.05,KhoiA
826,14.05,KhoiA1
827,15.35,KhoiB
828,14.3,KhoiA
829,12.5,KhoiA
830,16.5,KhoiB
831,15.6,KhoiB
832,12.7,KhoiA1
833,14.9,KhoiA1
834,15.5,KhoiA
835,8.15,KhoiA
836,13,KhoiB
837,23.4,KhoiB
838,12.95,KhoiA1
839,15.5,KhoiA1
840,10.95,KhoiB
841,12.5,KhoiA1
842,15.4,KhoiB
843,16.3,KhoiA1
844,16,KhoiA1
845,13.65,KhoiB
846,15.9,KhoiA1
847,14.5,KhoiA
848,13.25,KhoiA1
849,11.05,KhoiA
850,23.3,KhoiB
851,16.85,KhoiA
852,23.3,KhoiA1
853,10.55,KhoiA
854,8.75,KhoiA1
855,17,KhoiB
856,14.1,KhoiB
857,17.1,KhoiB
858,18.8,KhoiB
859,10,KhoiA1
860,14.05,KhoiA1
861,20,KhoiB
862,14.05,KhoiA1
863,15.9,KhoiA
864,24,KhoiA
865,17.35,KhoiB
866,13.5,KhoiA
867,15.85,KhoiA
